1.14536500,;4.79389130,;-0.41130523,;0.61640864,;-0.37786573,;0.28835463,;0.00000000
0.52271333,;0.72860087,;0.08459192,;0.55396088,;-0.37786573,;0.83073948,;0.00000000
0.42396308,;-0.45250093,;-0.27606055,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
2.39134590,;-0.44365372,;-0.54654991,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.01456936,;-0.40826490,;-0.27606055,;1.03160180,;-0.37786573,;0.79417421,;0.00000000
-0.39669727,;-0.41711211,;-0.09573432,;0.24298793,;1.58938940,;0.99833030,;0.00000000
0.14075480,;-0.16939038,;0.03951036,;0.41049982,;-0.37786573,;1.17810950,;0.00000000
0.39144155,;0.10929656,;-0.23097900,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.27779045,;-0.44365372,;-0.27606055,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
1.33287190,;1.85219580,;-0.09573432,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.00762466,;-0.23574442,;0.94114155,;2.22275060,;-0.37786573,;0.93738818,;0.00000000
-0.31539346,;-0.28440404,;1.93293590,;2.14975420,;0.12618804,;0.91605844,;0.00000000
0.14922395,;-0.05880033,;1.07638620,;0.83328801,;-0.37786573,;1.17506240,;0.00000000
0.92279584,;3.60394230,;0.30999972,;1.02991410,;-0.37786573,;0.48032230,;0.00000000
0.82269052,;1.37444680,;-0.23097900,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.50628803,;-0.35960528,;3.73619820,;0.43919203,;0.59629580,;0.68752550,;0.00000000
0.23425418,;-0.41268851,;-0.23097900,;1.26535900,;-0.37786573,;1.37312430,;0.00000000
-0.28338008,;-0.35960528,;0.53540751,;0.60332837,;0.85031466,;0.93434108,;0.00000000
-0.40940099,;-0.40826490,;1.43703870,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.11416653,;-0.43923012,;-0.41130523,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.11247270,;-0.41268851,;-0.27606055,;0.52569061,;-0.37786573,;1.64736390,;0.00000000
1.27578990,;-0.45250093,;-0.36622367,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.84979179,;-0.41711211,;-0.50146835,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.42142718,;-0.44365372,;1.39195710,;0.42864342,;-0.03010847,;0.78808000,;0.00000000
0.55980819,;1.00286420,;-0.27606055,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.13212112,;-0.44365372,;0.53540751,;1.71557360,;-0.37786573,;0.49555783,;0.00000000
0.04268208,;-0.34633447,;1.21163090,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
1.12961240,;1.49388410,;-0.09573432,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.33656633,;-0.45250093,;0.30999972,;0.10121464,;-0.37786573,;0.90082291,;0.00000000
0.49069995,;0.32605307,;-0.36622367,;1.30839730,;-0.37786573,;1.38835990,;0.00000000
-0.40008493,;-0.39057049,;0.49032595,;0.99489268,;-0.37786573,;0.68752550,;0.00000000
-0.19445404,;-0.36402888,;0.17475504,;0.50163979,;0.24593744,;1.30913510,;0.00000000
-0.19530095,;-0.38172329,;0.40016284,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.31606614,;-0.23574442,;0.35508128,;1.64468690,;-0.04133600,;1.19943930,;0.00000000
-0.19682540,;-0.40826490,;0.26491816,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.11907863,;-0.38614689,;-0.23097900,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.23984867,;-0.35075807,;1.07638620,;0.89700160,;0.93015857,;0.66619576,;0.00000000
-0.22392667,;-0.21362640,;-0.05065276,;-0.25954774,;0.87899262,;1.63212830,;0.00000000
-0.05810077,;-0.23132081,;-0.14081588,;1.68392770,;-0.37786573,;1.12326160,;0.00000000
-0.14330039,;-0.43480652,;-0.18589744,;0.80459580,;-0.37786573,;1.52243250,;0.00000000
-0.24865658,;-0.43038291,;-0.27606055,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.59013259,;-0.43480652,;1.30179400,;1.10502010,;0.71008571,;0.61439496,;0.00000000
-0.33114607,;-0.39941770,;0.26491816,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.10908504,;-0.29767485,;0.21983660,;1.32021170,;0.69602660,;1.32132350,;0.00000000
0.56353462,;0.91881577,;-0.32114211,;1.32400920,;-0.37786573,;1.18725090,;0.00000000
-0.09367119,;-0.39499410,;-0.09573432,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.19242144,;-0.43038291,;0.12967348,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.22392667,;-0.44807732,;-0.14081588,;1.04257240,;-0.37786573,;0.86425764,;0.00000000
0.16921113,;0.04736613,;0.71573375,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
1.22954830,;1.56466170,;-0.32114211,;1.39067640,;1.21397490,;1.14459140,;0.00000000
0.14515876,;-0.16054318,;-0.27606055,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.11094825,;-0.33748727,;0.12967348,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.73698275,;1.19307910,;0.30999972,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.83691868,;4.18785780,;0.44524439,;0.76408915,;-0.37786573,;0.52907600,;0.00000000
0.07537299,;-0.25343882,;0.67065219,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.24018259,;-0.04995312,;0.85097843,;1.01767770,;-0.37786573,;1.24514590,;0.00000000
0.56844672,;1.68852260,;-0.50146835,;0.57379226,;-0.37786573,;0.81245684,;0.00000000
-0.20614146,;-0.37729969,;0.35508128,;0.63075475,;0.63524645,;1.14763850,;0.00000000
1.37216880,;0.94978098,;-0.18589744,;1.27759540,;0.60577829,;0.84597501,;0.00000000
0.20698353,;-0.34191087,;0.21983660,;0.52526867,;-0.37786573,;0.92215265,;0.00000000
-0.46546674,;-0.45250093,;-0.23097900,;0.86746550,;-0.37786573,;0.92215265,;0.00000000
0.13025306,;0.51626796,;0.94114155,;0.05311299,;-0.37786573,;0.68143129,;0.00000000
0.60130701,;-0.45250093,;-0.14081588,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
4.30249360,;-0.45250093,;-0.45638679,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.02659070,;-0.44807732,;-0.41130523,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.40685540,;-0.02783511,;0.67065219,;1.02189710,;0.04683801,;1.29085250,;0.00000000
0.48172266,;-0.01456430,;0.03951036,;0.28096291,;-0.37786573,;0.95871792,;0.00000000
