0.53444972,-0.32231570,-0.32818610,2.21179655,2.32421288,1.37060096,1.00000000;;;;;;
0.44244699,-0.22579131,-0.45638679,1.55971786,4.06497442,1.38074209,1.00000000;;;;;;
-0.52034682,-0.45250093,-0.27606055,3.00165980,13.75042300,0.70276103,1.00000000;;;;;;
0.53274927,-0.32974596,-0.32114211,2.16167417,2.27075425,1.35941238,1.00000000;;;;;;
0.44927524,-0.30541615,-0.45638679,1.45742276,3.98258086,1.38302742,1.00000000;;;;;;
0.53785061,-0.30745516,-0.34227409,2.31204129,2.43113015,1.39297814,1.00000000;;;;;;
0.54091141,-0.29408067,-0.35495328,2.40226156,2.52735569,1.41311761,1.00000000;;;;;;
0.44983632,-0.32421646,-0.45638679,1.42263873,3.95463755,1.39750117,1.00000000;;;;;;
0.53700039,-0.31117029,-0.33875209,2.28698010,2.40440083,1.38738385,1.00000000;;;;;;
0.53478981,-0.32082964,-0.32959490,2.22182102,2.33490461,1.37283868,1.00000000;;;;;;
0.44501949,-0.23740327,-0.45638679,1.56074636,4.06569261,1.36017412,1.00000000;;;;;;
0.53691536,-0.31154180,-0.33839989,2.28447398,2.40172790,1.38682442,1.00000000;;;;;;
0.43730198,-0.20256740,-0.45638679,1.55766087,4.06353805,1.42187802,1.00000000;;;;;;
0.44244699,-0.22579131,-0.45638679,1.55971786,4.06497442,1.38074209,1.00000000;;;;;;
-0.02879752,-0.15611958,-0.36622367,1.45649980,3.24507220,1.36093590,1.00000000;;;;;;
0.53342945,-0.32677386,-0.32395971,2.18172312,2.29213770,1.36388781,1.00000000;;;;;;
0.53717043,-0.31042726,-0.33945649,2.29199234,2.40974670,1.38850271,1.00000000;;;;;;
0.53427967,-0.32305872,-0.32748170,2.20678431,2.31886702,1.36948211,1.00000000;;;;;;
0.54227177,-0.28813646,-0.36058848,2.44235945,2.57012259,1.42206848,1.00000000;;;;;;
0.53436470,-0.32268721,-0.32783390,2.20929043,2.32153995,1.37004154,1.00000000;;;;;;
0.53751052,-0.30894121,-0.34086529,2.30201681,2.42043842,1.39074043,1.00000000;;;;;;
0.35841188,-0.31426336,-0.24224938,1.69553117,1.48278543,1.46910817,1.00000000;;;;;;
0.54227177,-0.28813646,-0.36058848,2.44235945,2.57012259,1.42206848,1.00000000;;;;;;
0.44927524,-0.30541615,-0.45638679,1.45742276,3.98258086,1.38302742,1.00000000;;;;;;
0.53691536,-0.31154180,-0.33839989,2.28447398,2.40172790,1.38682442,1.00000000;;;;;;
0.53436470,-0.32268721,-0.32783390,2.20929043,2.32153995,1.37004154,1.00000000;;;;;;
0.53700039,-0.31117029,-0.33875209,2.28698010,2.40440083,1.38738385,1.00000000;;;;;;
0.44983632,-0.32421646,-0.45638679,1.42263873,3.95463755,1.39750117,1.00000000;;;;;;
0.53546999,-0.31785753,-0.33241250,2.24186997,2.35628806,1.37731412,1.00000000;;;;;;
0.53751052,-0.30894121,-0.34086529,2.30201681,2.42043842,1.39074043,1.00000000;;;;;;
0.53683034,-0.31191332,-0.33804769,2.28196787,2.39905497,1.38626499,1.00000000;;;;;;
0.35841188,-0.31426336,-0.24224938,1.69553117,1.48278543,1.46910817,1.00000000;;;;;;
0.35841188,-0.31426336,-0.24224938,1.69553117,1.48278543,1.46910817,1.00000000;;;;;;
0.44871416,-0.28661584,-0.45638679,1.49220679,4.01052418,1.36855366,1.00000000;;;;;;
0.53717043,-0.31042726,-0.33945649,2.29199234,2.40974670,1.38850271,1.00000000;;;;;;
0.44871416,-0.28661584,-0.45638679,1.49220679,4.01052418,1.36855366,1.00000000;;;;;;
0.44871416,-0.28661584,-0.45638679,1.49220679,4.01052418,1.36855366,1.00000000;;;;;;
0.35841188,-0.31426336,-0.24224938,1.69553117,1.48278543,1.46910817,1.00000000;;;;;;
0.54091141,-0.29408067,-0.35495328,2.40226156,2.52735569,1.41311761,1.00000000;;;;;;
0.43730198,-0.20256740,-0.45638679,1.55766087,4.06353805,1.42187802,1.00000000;;;;;;
0.53478981,-0.32082964,-0.32959490,2.22182102,2.33490461,1.37283868,1.00000000;;;;;;
0.44927524,-0.30541615,-0.45638679,1.45742276,3.98258086,1.38302742,1.00000000;;;;;;
0.53683034,-0.31191332,-0.33804769,2.28196787,2.39905497,1.38626499,1.00000000;;;;;;
