0.40668602,;1.21519710,;0.03951036,;-0.11017946,;-0.37786573,;1.03794270,;0.00000000
-0.23171829,;-0.36402888,;1.30179400,;0.75269665,;0.21534981,;0.96481214,;0.00000000
1.23767870,;5.07257830,;-0.50146835,;1.31599230,;-0.37786573,;0.24264805,;0.00000000
-0.13500063,;-0.31979286,;0.44524439,;0.65649335,;0.27942249,;1.27561690,;0.00000000
0.26813077,;0.39240710,;0.08459192,;1.45143640,;-0.37786573,;1.26038140,;0.00000000
0.38957834,;0.25527543,;-0.14081588,;0.72062888,;-0.37786573,;0.69666682,;0.00000000
1.35539990,;-0.44807732,;-0.41130523,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.01456936,;-0.40826490,;-0.27606055,;1.03160180,;-0.37786573,;0.79417421,;0.00000000
-0.20969850,;-0.43038291,;0.94114155,;1.36367200,;0.41346148,;0.80940974,;0.00000000
-0.19530095,;-0.40826490,;-0.09573432,;0.50712506,;1.13650160,;1.50719700,;0.00000000
-0.39991555,;-0.32864006,;0.62557063,;-0.39836742,;-0.37786573,;0.76370315,;0.00000000
0.10586191,;-0.18266119,;0.35508128,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.33774716,;0.19334500,;1.03130470,;0.75354054,;-0.37786573,;1.27561690,;0.00000000
-0.12297444,;-0.45250093,;-0.18589744,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.16498141,;-0.29767485,;0.40016284,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
1.09624400,;4.16131620,;-0.45638679,;1.51177450,;1.03693540,;0.33406122,;0.00000000
0.82218237,;2.87404800,;-0.09573432,;0.77379386,;-0.37786573,;0.66314866,;0.00000000
-0.21494937,;-0.41268851,;0.03951036,;0.80628358,;-0.37786573,;1.53462090,;0.00000000
-0.45869143,;-0.44807732,;-0.05065276,;1.13497820,;-0.37786573,;0.64486602,;0.00000000
-0.24425262,;-0.42153571,;0.76081531,;1.68055220,;0.41332978,;0.60830075,;0.00000000
0.14990148,;-0.07649473,;-0.18589744,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.17666398,;0.43221952,;-0.14081588,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.25983585,;-0.35075807,;1.57228340,;0.06070799,;0.34668893,;1.09583770,;0.00000000
0.02371119,;-0.35518168,;-0.18589744,;0.53328561,;1.38498900,;1.08364930,;0.00000000
-0.38111404,;-0.45250093,;0.58048907,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.17683821,;-0.35960528,;-0.05065276,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.56912426,;0.29508785,;-0.36622367,;0.30416985,;-0.37786573,;0.51384047,;0.00000000
0.65906660,;-0.44807732,;-0.36622367,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.56285709,;0.90996856,;-0.09573432,;1.13286850,;1.08839770,;0.94348240,;0.00000000
0.57454451,;0.56492759,;-0.14081588,;0.78560831,;0.53851186,;0.76065604,;0.00000000
0.02862329,;-0.39499410,;0.12967348,;1.18223600,;-0.37786573,;1.34265330,;0.00000000
0.17039681,;-0.24016802,;-0.27606055,;0.88982855,;-0.37786573,;1.41883090,;0.00000000
0.03438231,;-0.27113323,;0.62557063,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.30980382,;-0.41268851,;0.35508128,;0.67759056,;0.02978269,;1.24209880,;0.00000000
-0.41312741,;-0.42595931,;1.25671250,;1.52612060,;-0.37786573,;0.72409077,;0.00000000
0.25424137,;-0.27555684,;1.25671250,;0.83497579,;-0.37786573,;1.61689280,;0.00000000
0.13923035,;0.83476733,;-0.18589744,;0.49573257,;-0.37786573,;0.80636263,;0.00000000
-0.18971132,;-0.43480652,;-0.00557120,;0.97548324,;-0.37786573,;1.67478780,;0.00000000
-0.43463905,;-0.44807732,;0.08459192,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.39974132,;0.32605307,;-0.05065276,;0.49573257,;0.42268057,;0.80331553,;0.00000000
-0.41787014,;-0.44365372,;3.15013800,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.14888518,;-0.16054318,;0.03951036,;1.01514600,;1.83451840,;1.01661290,;0.00000000
0.06944458,;-0.19593200,;-0.36622367,;1.09742510,;-0.37786573,;1.00747160,;0.00000000
-0.46682181,;-0.32864006,;0.03951036,;1.40502250,;-0.37786573,;0.70580814,;0.00000000
-0.28490453,;-0.35075807,;-0.00557120,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.02100106,;-0.14727237,;0.58048907,;0.82442718,;0.18502559,;1.20553350,;0.00000000
0.09027868,;-0.45250093,;-0.18589744,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.64856486,;0.06948414,;0.26491816,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.00237378,;-0.40384130,;-0.27606055,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.03133827,;-0.43038291,;0.12967348,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.09874783,;-0.35960528,;-0.32114211,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.85267130,;0.40125431,;0.03951036,;1.04594790,;0.24468628,;1.16592110,;0.00000000
1.07879750,;0.95420459,;0.03951036,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.24323633,;-0.39057049,;0.35508128,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
4.91396610,;-0.41268851,;-0.45638679,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.81743965,;1.39656480,;-0.23097900,;0.65691529,;-0.37786573,;0.38586202,;0.00000000
0.08841547,;-0.18266119,;-0.18589744,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.59300725,;0.19334500,;-0.23097900,;1.54637390,;-0.37786573,;1.63517540,;0.00000000
1.59406040,;5.03276590,;-0.27606055,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.16616709,;-0.24901522,;-0.18589744,;0.84932190,;2.25112250,;0.89472870,;0.00000000
0.37077683,;-0.24016802,;-0.18589744,;1.57801970,;0.90315981,;1.66564650,;0.00000000
-0.46546674,;-0.45250093,;-0.59163147,;0.08644659,;-0.37786573,;0.71799656,;0.00000000
-0.20631084,;-0.40384130,;1.03130470,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.02354665,;-0.35960528,;-0.05065276,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.23256035,;-0.22247361,;-0.18589744,;-0.10469418,;-0.37786573,;0.43461572,;0.00000000
0.01829093,;-0.40384130,;-0.27606055,;0.28940180,;2.26323900,;1.34265330,;0.00000000
0.42006727,;0.31278226,;0.12967348,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.05132061,;-0.36402888,;-0.36622367,;0.95438603,;1.71164110,;1.30913510,;0.00000000
-0.41448248,;-0.42595931,;0.89605999,;-0.18528554,;0.36288818,;0.88558738,;0.00000000
-0.01118170,;0.20661581,;1.84277270,;0.20332516,;-0.03257787,;0.76370315,;0.00000000
-0.34791498,;-0.43923012,;-0.00557120,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.33876830,;-0.41711211,;0.26491816,;0.59024809,;-0.37786573,;0.91605844,;0.00000000
-0.00897972,;-0.23574442,;0.35508128,;1.12696120,;-0.37786573,;0.83683369,;0.00000000
-0.36536143,;-0.41268851,;2.87964860,;1.08139130,;-0.37786573,;0.43156861,;0.00000000
0.24136827,;-0.04110592,;-0.09573432,;0.82864662,;-0.37786573,;0.65400734,;0.00000000
0.67956193,;1.32136360,;0.21983660,;0.75396248,;-0.37786573,;0.88863449,;0.00000000
0.04522282,;-0.36402888,;0.21983660,;1.19995760,;-0.37786573,;1.31522930,;0.00000000
-0.24255879,;-0.35518168,;0.98622311,;0.55522671,;0.52850256,;0.75151473,;0.00000000
0.38415809,;-0.06764753,;1.16654930,;0.28349458,;0.05579370,;1.13545010,;0.00000000
0.70700197,;2.12203560,;1.12146780,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.03014774,;-0.35518168,;0.17475504,;1.39827140,;-0.37786573,;1.34570040,;0.00000000
0.84674290,;3.97110130,;1.12146780,;0.12948491,;-0.37786573,;0.46203967,;0.00000000
0.58030353,;-0.45250093,;0.12967348,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.11754934,;0.04294253,;1.84277270,;-0.09287974,;-0.37786573,;0.41938019,;0.00000000
