1.54883520,;-0.43923012,;-0.18589744,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.17294241,;-0.40826490,;-0.36622367,;1.16535820,;-0.37786573,;1.16592110,;0.00000000
-0.10197095,;-0.35518168,;0.53540751,;1.07253040,;-0.37786573,;1.39445410,;0.00000000
0.07740558,;-0.16496678,;0.26491816,;1.29067560,;-0.37786573,;1.31218220,;0.00000000
-0.06690868,;-0.27998044,;0.03951036,;0.40163899,;-0.37786573,;1.17201530,;0.00000000
1.06880390,;1.64871010,;-0.14081588,;0.85438523,;-0.37786573,;0.66314866,;0.00000000
1.20024510,;1.80353620,;-0.50146835,;1.25945180,;3.06210610,;0.51993468,;0.00000000
-0.13144359,;-0.25343882,;0.17475504,;0.83708551,;0.88755320,;1.09583770,;0.00000000
0.50340368,;0.20661581,;-0.14081588,;0.74889915,;0.61842161,;0.65705444,;0.00000000
0.11721057,;-0.23132081,;0.12967348,;1.04510410,;0.27003877,;1.07755510,;0.00000000
-0.18158094,;-0.43923012,;-0.32114211,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.33809077,;-0.45250093,;2.47391460,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.24103435,;-0.34191087,;0.76081531,;0.87210689,;0.35633604,;1.27561690,;0.00000000
-0.36214315,;-0.43038291,;0.40016284,;1.74806330,;-0.37786573,;0.25788358,;0.00000000
0.30132983,;-0.18266119,;0.12967348,;0.81767607,;-0.37786573,;1.20248640,;0.00000000
0.20664476,;0.10487296,;-0.05065276,;0.12484352,;-0.37786573,;0.82464527,;0.00000000
-0.19784170,;-0.36845248,;0.30999972,;0.07842965,;0.47486721,;1.29999380,;0.00000000
-0.02049776,;-0.29767485,;0.35508128,;1.86620770,;-0.37786573,;1.04708400,;0.00000000
1.48565530,;-0.45250093,;-0.14081588,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.27152328,;-0.45250093,;-0.18589744,;1.79574300,;1.94304030,;0.81550395,;0.00000000
0.43395667,;-0.45250093,;-0.23097900,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.93075683,;0.75956609,;-0.41130523,;1.16282650,;-0.37786573,;0.87949317,;0.00000000
0.99359790,;0.05621333,;-0.00557120,;0.84510245,;0.24060354,;0.95871792,;0.00000000
1.21515080,;2.61747900,;-0.41130523,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.05758778,;0.14468538,;0.71573375,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
-0.31539346,;-0.28440404,;1.93293590,;2.14975420,;0.12618804,;0.91605844,;0.00000000
0.02676008,;-0.42153571,;-0.41130523,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.03014774,;-0.32421646,;-0.32114211,;0.65353974,;-0.37786573,;1.42492510,;0.00000000
-0.18158094,;-0.38172329,;0.89605999,;0.61598669,;0.08842269,;1.05927240,;0.00000000
0.84623475,;0.31278226,;0.03951036,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.58352181,;0.28181705,;-0.14081588,;1.16915570,;0.57611257,;1.01051870,;0.00000000
0.33012493,;0.59589281,;-0.14081588,;1.11345900,;1.21361270,;1.17810950,;0.00000000
0.10738636,;-0.27555684,;0.03951036,;0.95522992,;1.24456250,;0.87644607,;0.00000000
0.38331117,;0.16680339,;-0.05065276,;0.75269665,;1.01214260,;1.25428720,;0.00000000
-0.04912348,;-0.15169597,;-0.18589744,;0.66155668,;1.42314940,;1.24209880,;0.00000000
-0.40872346,;-0.35518168,;2.42883300,;-0.01060060,;-0.37786573,;0.99223609,;0.00000000
0.20139389,;-0.12515436,;-0.09573432,;0.75269665,;0.97931608,;1.22686320,;0.00000000
1.26986150,;1.03825300,;-0.23097900,;0.94088381,;-0.37786573,;0.90691713,;0.00000000
-0.31522408,;-0.41268851,;0.08459192,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
1.51089340,;1.55581450,;-0.50146835,;2.05523870,;1.94304030,;0.62353628,;0.00000000
0.14092418,;-0.19593200,;0.21983660,;0.28265069,;-0.37786573,;1.10497900,;0.00000000
-0.24357509,;-0.33748727,;0.89605999,;-0.08823835,;-0.37786573,;1.01051870,;0.00000000
1.16873990,;1.85219580,;-0.23097900,;-0.85955255,;-0.37786573,;-0.94572324,;0.00000000
0.42650382,;-0.17381398,;0.71573375,;2.26494500,;0.42709256,;1.26038140,;0.00000000
-0.12924161,;-0.35518168,;0.26491816,;-0.25026497,;-0.37786573,;0.89168160,;0.00000000
0.22239738,;-0.20920280,;-0.09573432,;0.04678383,;-0.37786573,;1.26342850,;0.00000000
-0.48376010,;-0.45250093,;1.30179400,;0.67294918,;-0.37786573,;0.79417421,;0.00000000
-0.36451451,;-0.42153571,;0.12967348,;0.63624002,;-0.37786573,;1.29085250,;0.00000000
0.39957193,;0.35259468,;-0.23097900,;0.53117589,;-0.37786573,;0.56868837,;0.00000000
0.40770231,;0.41010151,;-0.09573432,;2.15819310,;-0.37786573,;1.56509200,;0.00000000
-0.13635569,;-0.42153571,;-0.09573432,;0.76619887,;2.30844550,;0.98614188,;0.00000000
0.03014774,;-0.35518168,;0.17475504,;1.39827140,;-0.37786573,;1.34570040,;0.00000000
1.06965080,;0.98516980,;0.12967348,;1.99068120,;0.22733463,;1.15068560,;0.00000000
